cid,smiles,herbs,herb_count,herb_4qi,herb_guijing,molecular_formula,molecular_mass_amu,charge,multiplicity,atom_count,heavy_atom_count,element_count,electron_count,final_electronic_energy_eh,zpe_eh,zpe_kcal_mol,thermal_vibrational_correction_eh,thermal_rotational_correction_eh,thermal_translational_correction_eh,total_thermal_correction_eh,total_thermal_energy_eh,enthalpy_correction_eh,total_enthalpy_eh,electronic_entropy_term_eh,vibrational_entropy_term_eh,rotational_entropy_term_eh,translational_entropy_term_eh,final_entropy_term_eh,final_entropy_term_kcal_mol,gibbs_correction_eh,final_gibbs_free_energy_eh,homo_eh,homo_ev,lumo_eh,lumo_ev,homo_lumo_gap_eh,homo_lumo_gap_ev,dipole_x_au,dipole_y_au,dipole_z_au,dipole_magnitude_au,dipole_magnitude_debye,rot_const_a_cm1,rot_const_b_cm1,rot_const_c_cm1,rot_const_a_mhz,rot_const_b_mhz,rot_const_c_mhz,frequency_count,imaginary_frequency_count,lowest_frequency_cm1,lowest_positive_frequency_cm1,highest_frequency_cm1,ir_peak_count,max_ir_intensity_km_mol
19,C1=CC(=C(C(=C1)O)O)C(=O)O,月季花,1,温,肝,C7H6O4,154.12,0,1,17,11,3,80.000006415331,-571.22507326086,0.12304858,77.21,0.00688541,0.00141627,0.00141627,0.00971795,-571.09230673,0.00094421,-571.09136252,0.0,0.0114244,0.01426032,0.01948388,0.0451686,28.34,0.08854214,-571.13653112,-0.236548,-6.4368,-0.0466,-1.268,0.189948,5.1688,-2.394572809,1.074268616,-0.657964035,2.705725165,6.877406814,0.064723,0.030374,0.021736,1940.356657,910.595593,651.622464,45,0,54.6,54.6,3815.98,45,363.36
51,C(CC(=O)O)C(=O)C(=O)O,砂仁,1,温,脾、胃、肾,C5H6O5,146.1,0,1,16,10,3,76.000000376791,-570.265597996517,0.11459346,71.91,0.00739956,0.00141627,0.00141627,0.01023211,-570.14077243,0.00094421,-570.13982822,0.0,0.0135769,0.01434374,0.01940816,0.0473288,29.7,0.07844098,-570.18715702,-0.287213,-7.8155,-0.105247,-2.8639,0.18196600000000002,4.9516,0.146071905,-1.919639952,0.015544392,1.925252236,4.893602284,0.11691,0.018801,0.016291,3504.861592,563.652415,488.405771,42,0,14.82,14.82,3771.03,42,515.44
72,C1=CC(=C(C=C1C(=O)O)O)O,丹参 | 京大戟 | 人参叶 | 仙桃草 | 佛手 | 凤仙透骨草 | 北五味子 | 半夏 | 半枝莲 | 四季青 | 地耳草 | 墨旱莲 | 大血藤 | 天山雪莲 | 小蓟 | 山慈菇 | 山茱萸 | 广枣 | 拳参 | 月季花 | 木瓜 | 杜仲 | 杜仲叶 | 松花粉 | 栀子 | 桂枝 | 桑叶 | 槲寄生 | 泽兰 | 海金沙 | 满山红 | 灯盏细辛 | 牛蒡子 | 猕猴桃根 | 玉米须 | 瓦松 | 甘草 | 白及 | 白蔹 | 石菖蒲 | 石韦 | 翻白草 | 老鹳草 | 肉豆蔻 | 肿节风 | 胡黄连 | 芫荽 | 苍耳子 | 草果 | 菝葜 | 蒲黄 | 蔓荆子 | 蕤仁 | 虎杖 | 虎耳草 | 蝉蜕 | 豆蔻 | 郁李仁 | 金樱子 | 金沸草 | 金盏菊花 | 金荞麦 | 金莲花 | 金银花 | 铁线透骨草 | 银杏叶 | 青果 | 香附 | 骨碎补 | 高良姜 | 鬼针草 | 鱼腥草 | 鸡血藤 | 鸡骨草 | 鹿衔草 | 麦芽 | 麻黄 | 麻黄根 | 黄药子 | 龙葵,80,微寒 | 寒 | 寒 | 温 | 温 | 温 | 温 | 温 | 温 | 寒 | 平 | 寒 | 平 | 温 | 凉 | 凉 | 微温 | 平 | 微寒 | 温 | 温 | 温 | 温 | 温 | 寒 | 温 | 寒 | 平 | 微温 | 平 | 寒 | 温 | 寒 | 凉 | 平 | 平 | 平 | 微寒 | 微寒 | 温 | 微寒 | 平 | 平 | 温 | 平 | 寒 | 温 | 温 | 温 | 平 | 平 | 微寒 | 微寒 | 微寒 | 微寒 | 平 | 温 | 平 | 平 | 温 | 凉 | 凉 | 微寒 | 寒 | 温 | 平 | 平 | 平 | 温 | 热 | 平 | 微寒 | 温 | 平 | 温 | 平 | 温 | 平 | 寒 | 寒,心、肝 | 肺、肾、大肠 | 肺、胃 | 肝、胃 | 肝、脾、胃、肺 | 肺、肝 | 肺、心、肾 | 脾、胃、肺 | 肺、肝、肾 | 肺、心 | 肝、胆 | 肾、肝 | 大肠、肝 | 肝、肾、肺 | 心、肝 | 肝、脾 | 肝、肾 | 心、脾 | 肺、肝、大肠 | 肝 | 肝、脾 | 肝、肾 | 肝、肾 | 肝、脾 | 心、肺、三焦 | 心、肺、膀胱 | 肺、肝 | 肝、肾 | 肝、脾 | 膀胱、小肠 | 肺 | 心、肺 | 肺、胃 | 肝、肾 | 膀胱、肝、胆 | 肝、肺 | 心、肺、脾、胃 | 肺、肝、胃 | 心、胃 | 心、胃 | 肺、膀胱 | 肝、胃、大肠 | 肝、肾、脾 | 脾、胃、大肠 | 心、肝 | 肝、胃、大肠 | 肺、脾 | 肺 | 脾、胃 | 肝、肾 | 肝、心包 | 膀胱、肝、胃 | 肝、心 | 肝、胆、肺 | 肺、脾、大肠 | 肺、肝 | 肺、脾、胃 | 脾、大肠、小肠 | 肾、膀胱、大肠 | 肺、大肠 | 肺、肝 | 肺、脾、肝 | 肺、胃 | 肺、心、胃 | 肾 | 心、肺 | 肺、胃 | 肝、脾、三焦 | 肝、肾 | 脾、胃 | 肝、肺、大肠 | 肺 | 肝、肾 | 肝、胃 | 肝、肾 | 脾、胃、肝 | 肺、膀胱 | 心、肺 | 肝、心 | 肝、胃,C7H6O4,154.12,0,1,17,11,3,79.999999277806,-571.231552820669,0.12321189,77.32,0.00678814,0.00141627,0.00141627,0.00962068,-571.09872024,0.00094421,-571.09777603,0.0,0.01115562,0.01434169,0.01948388,0.04498119,28.23,0.0887956,-571.14275722,-0.241298,-6.5661,-0.050651,-1.3783,0.190647,5.187799999999999,-2.056238647,-1.94583307,0.34941617,2.852450766,7.250353651,0.08352,0.023361,0.018433,2503.878251,700.339104,552.613718,45,0,58.2,58.2,3810.89,45,686.19
91,C1=CC(=CC(=C1)O)CCC(=O)O,杜仲 | 杜仲叶,2,温 | 温,肝、肾 | 肝、肾,C9H10O3,166.18,0,1,22,12,3,87.999995780696,-574.611109964295,0.17542201,110.08,0.00844912,0.00141627,0.00141627,0.01128166,-574.42440629,0.00094421,-574.42346208,0.0,0.0147482,0.01488007,0.01959053,0.04921881,30.89,0.13842907,-574.47268089,-0.234546,-6.3823,-0.020456,-0.5566,0.21409,5.825699999999999,-1.584873421,-0.218063417,-1.293549348,2.057339381,5.229341125,0.073747,0.012948,0.01204,2210.877618,388.18561,360.963062,60,0,24.23,24.23,3798.18,60,261.34
101,C1=CC(=CC(=C1)O)C=O,桂枝,1,温,心、肺、膀胱,C7H6O2,122.12,0,1,15,9,3,64.000005002141,-420.752828108225,0.1135354,71.24,0.00467843,0.00141627,0.00141627,0.00751098,-420.63178173,0.00094421,-420.63083752,0.0,0.00753183,0.01371466,0.0191543,0.04040079,25.35,0.0815898,-420.67123831,-0.246142,-6.6979,-0.072501,-1.9728,0.173641,4.725099999999999,1.661675233,0.266925222,3.0726e-05,1.682977616,4.277789137,0.122823,0.038046,0.029048,3682.144355,1140.597523,870.841699,39,0,104.83,104.83,3797.22,39,266.11
107,C1=CC=C(C=C1)CCC(=O)O,八角茴香 | 枇杷叶 | 桂枝 | 槲寄生 | 沉香 | 红花 | 荜茇,7,温 | 微寒 | 温 | 平 | 微温 | 温 | 热,肝、肾、脾、胃 | 肺、胃 | 心、肺、膀胱 | 肝、肾 | 脾、胃、肾 | 心、肝 | 胃、大肠,C9H10O2,150.18,0,1,21,11,3,79.999998672595,-499.383460740191,0.17136746,107.53,0.00725722,0.00141627,0.00141627,0.01008977,-499.20200351,0.00094421,-499.2010593,0.0,0.01272702,0.01451809,0.01944716,0.04669227,29.3,0.13570917,-499.24775157,-0.254148,-6.9157,-0.020228,-0.5504,0.23392,6.3653,-1.143753593,0.047512229,-1.1676916,1.635216611,4.156390312,0.108205,0.015299,0.014952,3243.893148,458.646487,448.257138,57,0,27.74,27.74,3772.04,57,281.87
125,C1=CC(=CC=C1CO)O,山慈菇 | 白薇,2,凉 | 寒,肝、脾 | 胃、肝,C7H8O2,124.14,0,1,17,9,3,66.000002406058,-421.953537438975,0.13702966,85.99,0.00545095,0.00141627,0.00141627,0.0082835,-421.80822428,0.00094421,-421.80728007,0.0,0.00906521,0.01372143,0.01917748,0.04196412,26.33,0.10429324,-421.8492442,-0.229533,-6.2459,-0.019657,-0.5349,0.20987599999999998,5.710999999999999,0.530528413,0.132541298,0.107571605,0.557314312,1.416580405,0.154628,0.031566,0.027415,4635.623213,946.31181,821.868438,45,0,32.27,32.27,3798.02,45,140.14
126,C1=CC(=CC=C1C=O)O,半枝莲 | 天葵子 | 川楝子 | 木贼 | 松花粉 | 板蓝根 | 猫爪草 | 生姜 | 白及 | 百合 | 石见穿 | 砂仁 | 芦根 | 芫花 | 葛花 | 葶苈子 | 蒲黄 | 蒿本 | 金荞麦,19,温 | 平 | 寒 | 平 | 温 | 寒 | 温 | 微温 | 微寒 | 微寒 | 微寒 | 温 | 寒 | 温 | 平 | 大寒 | 平 | 温 | 凉,肺、肝、肾 | 肝、胃 | 肝、小肠、膀胱 | 肺、肝 | 肝、脾 | 心、胃 | 肝、肺 | 肺、脾、胃 | 肺、肝、胃 | 心、肺 | 肝、脾 | 脾、胃、肾 | 肺、胃 | 肺、脾、肾 | 脾、胃 | 肺、膀胱 | 肝、心包 | 膀胱 | 肺、脾、肝,C7H6O2,122.12,0,1,15,9,3,64.000006277879,-420.755918230196,0.11377926,71.4,0.00460403,0.00141627,0.00141627,0.00743657,-420.6347024,0.00094421,-420.63375819,0.0,0.00740701,0.01364036,0.0191543,0.04020167,25.23,0.08195837,-420.67395986,-0.248501,-6.7621,-0.063543,-1.7291,0.184958,5.033,1.383006157,-0.002217246,3.5781e-05,1.383007935,3.515326803,0.171192,0.033295,0.027874,5132.204587,998.163952,835.640074,39,0,99.13,99.13,3790.63,39,280.38
174,C(CO)O,麦芽,1,平,脾、胃、肝,C2H6O2,62.07,0,1,10,4,3,34.000000536613,-230.240304982185,0.08524197,53.49,0.00213462,0.00141627,0.00141627,0.00496716,-230.15009585,0.00094421,-230.14915164,0.0,0.00338384,0.01151214,0.01819577,0.03309175,20.77,0.05806159,-230.18224339,-0.272112,-7.4046,0.015889,0.4324,0.288001,7.837000000000001,0.598977791,0.480503852,0.51797287,0.926258193,2.354361222,0.506145,0.185396,0.153646,15173.858551,5558.035047,4606.190402,24,0,166.87,166.87,3787.14,24,146.07
177,CC=O,前胡 | 小茴香 | 牛膝 | 紫花前胡 | 辣椒,5,微寒 | 温 | 平 | 微寒 | 热,肺 | 肝、肾、脾、胃 | 肝、肾 | 肺 | 心、脾,C2H4O,44.05,0,1,7,3,3,24.000001578858,-153.815550679151,0.05522534,34.65,0.0010576,0.00141627,0.00141627,0.00389014,-153.7564352,0.00094421,-153.75549099,0.0,0.00176821,0.01027634,0.01771022,0.02975476,18.67,0.03030493,-153.78524575,-0.264105,-7.1867,-0.032486,-0.884,0.23161899999999996,6.3027,-1.013043448,-0.368490006,0.240006498,1.104375403,2.807099191,1.91311,0.339332,0.304368,57353.608715,10172.902557,9124.709099,15,0,158.92,158.92,3136.58,15,187.89
180,CC(=O)C,木蝴蝶 | 桑叶 | 竹沥 | 花椒 | 葛花,5,凉 | 寒 | 寒 | 温 | 平,肺、肝、胃 | 肺、肝 | 心、肺、肝 | 脾、胃、肾 | 脾、胃,C3H6O,58.08,0,1,10,4,3,31.999998649225,-193.130674642203,0.08321856,52.22,0.0026119,0.00141627,0.00141627,0.00544444,-193.04201164,0.00094421,-193.04106743,0.0,0.00477657,0.01146644,0.01810171,0.03434472,21.55,0.05526249,-193.07541215,-0.253461,-6.897,-0.019842,-0.5399,0.233619,6.3571,-0.000394607,1.131464776,0.326310811,1.177578634,2.993167018,0.339508,0.284812,0.164261,10178.192628,8538.453553,4924.427402,24,0,25.79,25.79,3142.08,24,183.99
240,C1=CC=C(C=C1)C=O,一枝黄花 | 丁香 | 侧柏叶 | 凌霄花 | 北刘寄奴 | 升麻 | 半夏 | 半枝莲 | 吴茱萸 | 安息香 | 山柰 | 巴戟天 | 常山 | 广藿香 | 徐长卿 | 断血流 | 木蝴蝶 | 松节 | 枇杷叶 | 柴胡 | 桂枝 | 桑叶 | 桑寄生 | 梅花 | 满山红 | 火麻仁 | 牛膝 | 牛蒡子 | 牵牛子 | 玫瑰花 | 白芷 | 瞿麦 | 矮地茶 | 石菖蒲 | 紫苏 | 紫苏子 | 罗布麻叶 | 羌活 | 肉桂 | 肉苁蓉 | 胡椒 | 芫花 | 芫荽 | 苦丁茶 | 苦杏仁 | 苦楝子 | 荆芥 | 荆芥穗 | 荔枝核 | 菊花 | 葎草 | 葛花 | 葶苈子 | 赤芍 | 辣椒 | 金银花 | 防己 | 防风 | 降香 | 零陵香 | 香薷 | 麻黄 | 黄柏 | 黄芩,64,平 | 温 | 寒 | 微寒 | 寒 | 微寒 | 温 | 温 | 热 | 平 | 温 | 微温 | 寒 | 微温 | 温 | 微寒 | 凉 | 温 | 微寒 | 微寒 | 温 | 寒 | 平 | 平 | 寒 | 平 | 平 | 寒 | 寒 | 温 | 温 | 寒 | 平 | 温 | 温 | 温 | 凉 | 温 | 大热 | 温 | 热 | 温 | 温 | 寒 | 温 | 寒 | 微温 | 微温 | 温 | 微寒 | 平 | 平 | 大寒 | 微寒 | 热 | 寒 | 寒 | 微温 | 温 | 温 | 微温 | 温 | 寒 | 寒,肺、肝 | 脾、胃、肺、肾 | 肺、肝、脾 | 肝、心包 | 脾、胃、肝、胆 | 肺、脾、胃、大肠 | 脾、胃、肺 | 肺、肝、肾 | 肝、脾、胃、肾 | 心、脾 | 胃 | 肾、肝 | 肺、肝、心 | 脾、胃、肺 | 肝、胃 | 肝 | 肺、肝、胃 | 肝、肾 | 肺、胃 | 肝、胆、肺 | 心、肺、膀胱 | 肺、肝 | 肝、肾 | 肝、胃、肺 | 肺 | 脾、胃、大肠 | 肝、肾 | 肺、胃 | 肺、肾、大肠 | 肝、脾 | 胃、大肠、肺 | 心、小肠 | 肺、肝 | 心、胃 | 肺、脾 | 肺、大肠 | 肝 | 膀胱、肾 | 肾、脾、心、肝 | 肾、大肠 | 胃、大肠 | 肺、脾、肾 | 肺、脾 | 肝、肺、胃 | 肺、大肠 | 肝、小肠、膀胱 | 肺、肝 | 肺、肝 | 肝、肾 | 肺、肝 | 肺、肾、大肠 | 脾、胃 | 肺、膀胱 | 肝 | 心、脾 | 肺、心、胃 | 膀胱、肺 | 膀胱、肝、脾 | 肝、脾 | 肺 | 肺、脾、胃 | 肺、膀胱 | 肾、膀胱 | 肺、胆、脾、大肠、小肠,C7H6O,106.12,0,1,14,8,3,55.999993967338,-345.525976328185,0.10954226,68.74,0.00348866,0.00141627,0.00141627,0.0063212,-345.41011287,0.00094421,-345.40916866,0.0,0.00557612,0.01323917,0.01895542,0.03777072,23.7,0.07903695,-345.44693938,-0.263887,-7.1807,-0.073431,-1.9982,0.190456,5.1825,-1.277968202,0.457737283,4.6676e-05,1.357470496,3.450415792,0.17608,0.052325,0.040338,5278.755196,1568.660702,1209.299385,36,0,116.31,116.31,3200.93,36,269.43
241,C1=CC=CC=C1,安息香 | 枇杷叶 | 牛蒡子 | 荷叶 | 麻黄,5,平 | 微寒 | 寒 | 平 | 温,心、脾 | 肺、胃 | 肺、胃 | 肝、脾、胃 | 肺、膀胱,C6H6,78.11,0,1,12,6,2,42.000000222637,-232.202289020857,0.10018244,62.87,0.00157293,0.00141627,0.00141627,0.00440548,-232.09770111,0.00094421,-232.0967569,0.0,0.00210946,0.00983513,0.01852142,0.03046601,19.12,0.07506611,-232.12722291,-0.256104,-6.9689,-0.011088,-0.3017,0.245016,6.667199999999999,-2.0947e-05,-5.355e-06,-1.978e-06,2.1711e-05,5.5185e-05,0.191178,0.191177,0.095589,5731.386089,5731.347643,2865.683433,30,0,411.52,411.52,3196.19,30,115.02
248,C[N+](C)(C)CC(=O)O,地骨皮 | 枸杞子 | 水飞蓟 | 灵芝 | 牛膝 | 蚕沙 | 麦芽 | 黄芪,8,寒 | 平 | 凉 | 平 | 平 | 温 | 平 | 微温,肺、肝、肾 | 肝、肾 | 肝、胆 | 心、肺、肝、肾 | 肝、肾 | 肝、脾、胃 | 脾、胃、肝 | 肺、脾,C5H12NO2,118.16,1,1,20,8,4,63.999998197624,-402.669472712164,0.17803052,111.72,0.00639354,0.00141627,0.00141627,0.00922609,-402.48221611,0.00094421,-402.4812719,0.0,0.01054037,0.01349175,0.01910753,0.04313964,27.07,0.14506117,-402.52441155,-0.452411,-12.3107,-0.170854,-4.6492,0.281557,7.6615,-2.370330401,-0.734160431,1.173903726,2.745087923,6.977458993,0.116866,0.045111,0.041286,3503.557283,1352.388271,1237.735644,54,0,67.32,67.32,3750.81,54,330.44
261,CCCC=O,当归 | 桑叶 | 茵陈 | 蚕沙 | 西河柳 | 辣椒,6,温 | 寒 | 微寒 | 温 | 平 | 热,肝、心、脾 | 肺、肝 | 脾、胃、肝、胆 | 肝、脾、胃 | 心、肺、胃 | 心、脾,C4H8O,72.11,0,1,13,5,3,39.999995151382,-232.42335768519,0.11246744,70.57,0.0034212,0.00141627,0.00141627,0.00625375,-232.3046365,0.00094421,-232.30369229,0.0,0.00591352,0.01221293,0.01840809,0.03653454,22.93,0.08313085,-232.34022683,-0.260148,-7.079,-0.02876,-0.7826,0.23138799999999998,6.2964,-0.654723946,0.808218197,0.088895586,1.043926494,2.653450275,0.510065,0.08469,0.075641,15291.374837,2538.928466,2267.659998,33,0,80.7,80.7,3092.3,33,168.88
