cid,has_tcmsp_mapping,herb_count,herb_names,tcmsp_mol_id_count,tcmsp_mol_ids,unique_edge_count,evidence_tiers,provenance_status
19,1,1,月季花,1,MOL012790,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
51,1,1,砂仁,1,MOL007523,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
72,1,80,丹参 | 京大戟 | 人参叶 | 仙桃草 | 佛手 | 凤仙透骨草 | 北五味子 | 半夏 | 半枝莲 | 四季青 | 地耳草 | 墨旱莲 | 大血藤 | 天山雪莲 | 小蓟 | 山慈菇 | 山茱萸 | 广枣 | 拳参 | 月季花 | 木瓜 | 杜仲 | 杜仲叶 | 松花粉 | 栀子 | 桂枝 | 桑叶 | 槲寄生 | 泽兰 | 海金沙 | 满山红 | 灯盏细辛 | 牛蒡子 | 猕猴桃根 | 玉米须 | 瓦松 | 甘草 | 白及 | 白蔹 | 石菖蒲 | 石韦 | 翻白草 | 老鹳草 | 肉豆蔻 | 肿节风 | 胡黄连 | 芫荽 | 苍耳子 | 草果 | 菝葜 | 蒲黄 | 蔓荆子 | 蕤仁 | 虎杖 | 虎耳草 | 蝉蜕 | 豆蔻 | 郁李仁 | 金樱子 | 金沸草 | 金盏菊花 | 金荞麦 | 金莲花 | 金银花 | 铁线透骨草 | 银杏叶 | 青果 | 香附 | 骨碎补 | 高良姜 | 鬼针草 | 鱼腥草 | 鸡血藤 | 鸡骨草 | 鹿衔草 | 麦芽 | 麻黄 | 麻黄根 | 黄药子 | 龙葵,1,MOL000105,80,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
91,1,2,杜仲 | 杜仲叶,1,MOL009018,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
101,1,1,桂枝,1,MOL010549,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
107,1,7,八角茴香 | 枇杷叶 | 桂枝 | 槲寄生 | 沉香 | 红花 | 荜茇,1,MOL000340,7,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
125,1,2,山慈菇 | 白薇,1,MOL006927,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
126,1,19,半枝莲 | 天葵子 | 川楝子 | 木贼 | 松花粉 | 板蓝根 | 猫爪草 | 生姜 | 白及 | 百合 | 石见穿 | 砂仁 | 芦根 | 芫花 | 葛花 | 葶苈子 | 蒲黄 | 蒿本 | 金荞麦,1,MOL001843,19,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
174,1,1,麦芽,1,MOL010847,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
177,1,5,前胡 | 小茴香 | 牛膝 | 紫花前胡 | 辣椒,1,MOL008680,5,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
180,1,5,木蝴蝶 | 桑叶 | 竹沥 | 花椒 | 葛花,1,MOL004472,5,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
