position,field,type,unit,origin,required,missing_count,missing_value_rule,description
1,cid,string,not applicable,release assembly,True,0,not missing in release 1.1.0-rc1,Primary record key; PubChem Compound identifier stored as text.
2,source_file,string,not applicable,release assembly,True,0,not missing in release 1.1.0-rc1,Archived ORCA output filename used for extraction.
3,file_size_bytes,integer,byte,release assembly,True,0,not missing in release 1.1.0-rc1,"Byte size of the archived source OUT file; an integrity/provenance field, not a molecular descriptor."
4,orca_version,string,not applicable,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,ORCA program version reported by the calculation.
5,normal_termination,integer,dimensionless,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,1 when the ORCA normal-termination marker is present; otherwise 0.
6,optimization_converged,integer,dimensionless,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,1 when the geometry-optimization convergence marker is present; otherwise 0.
7,method_keywords,string,not applicable,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,ORCA simple-input keyword line preserved from the archived calculation.
8,basis,string,not applicable,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,Parsed orbital basis-set label.
9,charge,integer,dimensionless,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,Net molecular charge used in the calculation.
10,multiplicity,integer,dimensionless,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,Spin multiplicity used in the calculation.
11,atom_count,integer,dimensionless,derived from ORCA Cartesian atom list,True,0,not missing in release 1.1.0-rc1,"Number of atoms, including hydrogen, in the calculated Cartesian atom list."
12,heavy_atom_count,integer,dimensionless,derived from ORCA Cartesian atom list,True,0,not missing in release 1.1.0-rc1,Number of non-hydrogen atoms in the calculated Cartesian atom list.
13,element_count,integer,dimensionless,derived from ORCA Cartesian atom list,True,0,not missing in release 1.1.0-rc1,Number of distinct chemical elements in the calculated atom list.
14,molecular_formula,string,not applicable,derived from ORCA Cartesian atom list,True,0,not missing in release 1.1.0-rc1,Formula derived from the calculated atom list; formal charge is stored separately.
15,molecular_mass_amu,number,u,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,Molecular mass calculated from the ORCA atom list in unified atomic mass units; not the PubChem average molecular weight.
16,electron_count,number,dimensionless,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,Integrated ORCA electron count; small non-integer deviations reflect numerical precision.
17,final_electronic_energy_eh,number,Eh,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,Last final single-point electronic energy from the converged calculation. Retained as the derivation basis for the thermochemical fields; not a primary output descriptor.
18,zpe_eh,number,Eh,parsed from ORCA output,True,0,not missing in release 1.1.0-rc1,Zero-point vibrational energy from the final harmonic-frequency analysis.
