cid,compound_id,herb_id,herb_name,evidence_tier,accepted_evidence_sources,tcmsp_mol_ids,evidence_record_count,source_snapshot,adjudication_status
19,CMP-PUBCHEM-19,HERB-0157,月季花,primary_direct,TCMSP_molecule_page_snapshot,MOL012790,1,2025-07-18,accepted_direct_relation
51,CMP-PUBCHEM-51,HERB-0295,砂仁,primary_direct,TCMSP_molecule_page_snapshot,MOL007523,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0011,丹参,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0020,京大戟,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0022,人参叶,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0023,仙桃草,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0029,佛手,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0046,凤仙透骨草,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0053,北五味子,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0064,半夏,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0065,半枝莲,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0077,四季青,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0083,地耳草,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0089,墨旱莲,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0097,大血藤,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0105,天山雪莲,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0120,小蓟,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0122,山慈菇,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0125,山茱萸,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0142,广枣,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0149,拳参,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
72,CMP-PUBCHEM-72,HERB-0157,月季花,primary_direct,TCMSP_molecule_page_snapshot,MOL000105,1,2025-07-18,accepted_direct_relation
