provenance_record_id,cid,compound_id,herb_id,herb_name,tcmsp_mol_id,evidence_tier,match_confidence,match_method,source_database,source_locator,source_snapshot,adjudication_status
TCMSP-ADJ-0000001,19,CMP-PUBCHEM-19,HERB-0157,月季花,MOL012790,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=6209;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000002,51,CMP-PUBCHEM-51,HERB-0295,砂仁,MOL007523,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=3911;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000003,72,CMP-PUBCHEM-72,HERB-0011,丹参,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=11,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000004,72,CMP-PUBCHEM-72,HERB-0020,京大戟,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=39,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000005,72,CMP-PUBCHEM-72,HERB-0022,人参叶,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=55,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000006,72,CMP-PUBCHEM-72,HERB-0023,仙桃草,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=68,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000007,72,CMP-PUBCHEM-72,HERB-0029,佛手,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=18,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000008,72,CMP-PUBCHEM-72,HERB-0046,凤仙透骨草,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=17,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000009,72,CMP-PUBCHEM-72,HERB-0053,北五味子,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=6,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000010,72,CMP-PUBCHEM-72,HERB-0064,半夏,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=4,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000011,72,CMP-PUBCHEM-72,HERB-0065,半枝莲,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=5,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000012,72,CMP-PUBCHEM-72,HERB-0077,四季青,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=63,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0000013,72,CMP-PUBCHEM-72,HERB-0083,地耳草,MOL000105,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=77;herb_position=12,2025-07-18,accepted_direct_relation
